61101.657971	0.282673	0.010274
61101.658447	0.287690	0.010401
61101.658930	0.299098	0.010838
61101.659409	0.292461	0.010454
61101.659908	0.270790	0.010053
61101.660384	0.278855	0.010356
61101.660864	0.283122	0.010157
61101.661825	0.282197	0.009956
61101.662325	0.287672	0.010085
61101.662813	0.272673	0.009898
61101.663311	0.292664	0.010257
61101.663810	0.294369	0.010195
61101.664287	0.287914	0.010056
61101.664792	0.264660	0.009591
61101.665270	0.277558	0.009921
61101.665748	0.268059	0.009717
61101.666255	0.290683	0.010035
61101.666734	0.297034	0.010228
61101.667212	0.282923	0.009986
61101.667717	0.275712	0.009956
61101.668216	0.284301	0.010059
61101.668693	0.277646	0.009964
61101.669170	0.287993	0.010050
61101.669671	0.292392	0.010084
61101.670170	0.274991	0.009958
61101.673581	0.283880	0.009932
61101.674080	0.282719	0.009904
61101.674587	0.277044	0.010002
61101.675086	0.293284	0.010122
61101.675562	0.276293	0.009757
61101.676061	0.285269	0.009822
61101.676561	0.274097	0.009643
61101.677060	0.284943	0.010026
61101.677558	0.275416	0.010051
61101.678062	0.277785	0.009840
61101.678541	0.283204	0.009988
61101.679041	0.264506	0.009660
61101.679538	0.254938	0.009311
61101.680037	0.269733	0.009720
61101.680535	0.271875	0.009624
61101.681033	0.275957	0.009756
61101.683970	0.251725	0.009762
61101.684469	0.259830	0.009435
61101.684951	0.243608	0.009529
61101.685449	0.263584	0.009661
61101.685948	0.262786	0.009319
61101.686455	0.260438	0.009457
61101.686932	0.249579	0.009366
61101.687430	0.257193	0.009442
61101.687929	0.263151	0.009778
61101.688408	0.269347	0.009594
61101.688887	0.266847	0.009544
61101.689386	0.259940	0.009485
61101.689894	0.266862	0.009405
61101.690372	0.272946	0.009579
61101.690870	0.265707	0.009389
61101.691371	0.272912	0.009660
61101.691849	0.267879	0.009617
61101.692328	0.260928	0.009509
61101.692826	0.260552	0.009473
61101.693334	0.257902	0.009446
61101.693835	0.283633	0.009807
61101.694334	0.249914	0.009387
61101.694846	0.260610	0.009465
61101.695325	0.280256	0.009498
61101.695824	0.289620	0.009673
61101.696322	0.280236	0.009797
61101.696843	0.276541	0.009784
61101.697345	0.284476	0.009633
61101.697824	0.281634	0.009613
61101.698303	0.275032	0.009585
61101.698781	0.275697	0.009588
61101.699280	0.287989	0.009595
61101.699778	0.285505	0.009697
61101.700288	0.294890	0.009751
61101.700789	0.284922	0.009852
61101.701287	0.283037	0.009592
61101.701767	0.288721	0.009832
61101.702244	0.293762	0.009765
61101.702743	0.300590	0.009895
61101.703241	0.281904	0.009688
61101.703749	0.285251	0.009679
61101.704226	0.265122	0.009392
61101.704712	0.278183	0.009640
61101.705214	0.288283	0.009423
61101.705693	0.296573	0.009850
61101.706192	0.292950	0.010147
61101.706692	0.290073	0.009897
61101.707174	0.285674	0.009801
61101.707672	0.286896	0.009653
61101.708150	0.279763	0.009399
61101.708638	0.284737	0.009307
61101.709116	0.274977	0.009553
61101.709617	0.295346	0.009732
61101.710094	0.294708	0.009768
61101.710594	0.280865	0.009822
61101.712600	0.279893	0.009609
61101.713099	0.284958	0.009474
61101.713576	0.291145	0.009552
61101.714086	0.270083	0.009303
61101.714596	0.305053	0.009945
61101.715094	0.317354	0.009750
61101.715602	0.300178	0.009558
61101.716113	0.304256	0.009838
61101.716613	0.292390	0.009807
61101.717112	0.289781	0.009831
61101.717591	0.295129	0.009721
61101.718090	0.290685	0.009654
61101.718567	0.301488	0.009920
61101.719075	0.291921	0.009750
61101.719555	0.314929	0.009961
61101.720055	0.286462	0.009574
61101.720556	0.288881	0.009626
61101.721033	0.297125	0.009700
61101.721532	0.293756	0.009779
61101.722042	0.316504	0.009929
61101.722550	0.284721	0.009560
61101.723029	0.301973	0.009722
61101.723530	0.282637	0.009486
61101.724007	0.281914	0.009389
61101.724484	0.285256	0.009337
61101.724983	0.295412	0.009659
61101.725468	0.290902	0.009714
61101.725980	0.290264	0.009480
61101.726457	0.281191	0.009383
61101.726936	0.300184	0.009606
61101.727415	0.287648	0.009569
61101.727893	0.280579	0.009348
61101.728371	0.283093	0.009522
61101.728854	0.287527	0.009439
61101.729334	0.283830	0.009638
61101.729814	0.291326	0.009764
61101.730315	0.290795	0.009485
61101.730816	0.283666	0.009612
61101.731314	0.297980	0.010130
61101.731791	0.297541	0.009801
61101.732269	0.273223	0.009415
61101.732746	0.297980	0.009634
61101.733244	0.280996	0.009283
61101.733721	0.278117	0.009555
61101.734201	0.279180	0.009646
61101.734699	0.284175	0.009479
61101.735177	0.286584	0.009783
61101.735685	0.268251	0.009527
61101.736185	0.280532	0.009602
61101.736665	0.265226	0.009410
61101.737144	0.280202	0.009789
61101.737644	0.299305	0.009728
61101.738120	0.266252	0.009354
61101.738597	0.278908	0.009368
61101.739078	0.293140	0.009718
61101.739567	0.296144	0.009753
61101.740045	0.268658	0.009376
61101.740558	0.289628	0.009722
61101.741035	0.295180	0.009525
61101.741516	0.283049	0.009567
61101.741994	0.297778	0.009520
61101.742473	0.302977	0.009553
61101.742951	0.284747	0.009562
61101.743428	0.278075	0.009444
61101.743912	0.281765	0.009438
61101.744390	0.274732	0.009115
61101.744867	0.294608	0.009654
61101.745366	0.272353	0.009433
61101.745866	0.286201	0.009311
61101.746344	0.276387	0.009395
61101.746853	0.284798	0.009375
61101.747331	0.282357	0.009363
61101.747808	0.280558	0.009293
61101.748307	0.284399	0.009587
61101.748786	0.287358	0.009583
61101.749263	0.302963	0.009873
61101.749761	0.282326	0.009628
61101.750270	0.276563	0.009614
61101.750768	0.293351	0.009603
61101.751267	0.297040	0.009743
61101.751744	0.285849	0.009686
61101.752243	0.298194	0.009735
61101.752720	0.278062	0.009886
61101.753219	0.316658	0.009961
61101.753700	0.279539	0.009517
61101.754199	0.303359	0.009733
61101.754697	0.296838	0.009874
61101.758642	0.274100	0.009355
61101.759119	0.295484	0.009681
61101.759618	0.302267	0.009832
61101.760128	0.287213	0.009420
61101.760609	0.311715	0.009933
61101.761087	0.293213	0.009662
61101.761585	0.299870	0.009700
61101.762095	0.275837	0.009341
61101.762605	0.302874	0.009794
61101.763103	0.280091	0.009584
61101.763583	0.298033	0.009749
61101.764061	0.296570	0.009888
61101.764559	0.304810	0.009903
61101.765057	0.296502	0.009831
61101.765569	0.304680	0.009710
61101.766047	0.296956	0.009884
61101.766545	0.295655	0.009733
61101.767027	0.305525	0.009861
61101.767984	0.310787	0.009952
61101.768462	0.309130	0.009913
61101.768964	0.295310	0.009637
61101.769442	0.302251	0.009861
61101.769940	0.297567	0.009920
61101.770449	0.287285	0.009900
61101.770928	0.299019	0.009786
61101.771426	0.304738	0.010043
61101.771903	0.308491	0.009882
61101.772380	0.287553	0.009546
61101.772879	0.295277	0.009838
61101.773358	0.284442	0.009464
61101.773858	0.291158	0.009853
61101.774337	0.292694	0.009712
61101.774816	0.272404	0.009559
61101.775322	0.285577	0.009652
61101.775799	0.303250	0.009790
61101.776276	0.296991	0.009760
61101.776754	0.304640	0.010165
61101.777230	0.288580	0.009562
61101.777729	0.293864	0.009618
61101.781563	0.279205	0.008710
61101.782040	0.268503	0.008628
61101.782517	0.286006	0.008781
61101.783016	0.289173	0.008896
61101.783493	0.272428	0.008605
61101.783991	0.280464	0.008903
61101.784469	0.277109	0.008792
61101.784968	0.287483	0.008962
61101.785445	0.273494	0.008553
61101.785924	0.291470	0.008952
61101.786432	0.283750	0.008864
61101.786911	0.272830	0.008682
61101.787412	0.277273	0.008771
61101.787911	0.267949	0.008729
61101.788389	0.271544	0.008594
61101.788868	0.284365	0.008634
61101.789347	0.298394	0.008828
61101.789857	0.264320	0.008392
61101.790356	0.266480	0.008510
61101.790833	0.284955	0.009009
61101.791331	0.279168	0.008790
61101.791808	0.277200	0.008591
61101.792288	0.272627	0.008869
61101.792765	0.274008	0.008638
61101.793245	0.270027	0.008636
61101.793745	0.264325	0.008569
61101.794223	0.279682	0.008878
61101.794731	0.289060	0.008809
61101.795208	0.300852	0.008846
61101.795686	0.285607	0.008624
61101.796165	0.267019	0.008735
61101.796642	0.280934	0.009011
61101.797127	0.283561	0.008920
61101.797608	0.262657	0.008682
61101.798086	0.272997	0.008858
61101.798563	0.266917	0.008765
61101.799075	0.263105	0.008612
61101.799586	0.252928	0.008414
61101.800065	0.263742	0.008507
61101.800544	0.255576	0.008589
61101.801044	0.270771	0.008620
61101.801524	0.256199	0.008777
61101.802002	0.261061	0.008587
61101.802503	0.264533	0.008752
61101.803006	0.267657	0.008728
61101.803484	0.244922	0.008407
61101.803970	0.261202	0.008720
61101.804475	0.244809	0.008702
61101.804953	0.239529	0.008541
61101.805453	0.252451	0.008386
61101.805931	0.255148	0.008708
61101.806408	0.253230	0.008433
61101.806907	0.260940	0.008823
61101.807384	0.265386	0.008703
61101.807869	0.251252	0.008678
61101.808346	0.249433	0.008578
61101.808824	0.262289	0.008664
61101.809333	0.259941	0.008675
61101.809811	0.252955	0.008648
61101.810296	0.272734	0.008868
61101.810774	0.259049	0.008588
61101.811273	0.268195	0.008850
61101.811750	0.254121	0.008658
61101.812228	0.261730	0.008615
61101.812727	0.247641	0.008581
61101.813227	0.259135	0.008634
61101.813704	0.260019	0.008714
61101.814214	0.263065	0.008940
61101.814691	0.267465	0.008801
61101.815170	0.263482	0.008639
61101.815669	0.261986	0.008771
61101.816147	0.261769	0.008838
61101.816623	0.259802	0.008774
61101.817102	0.262282	0.008447
61101.817585	0.268622	0.008788
61101.818084	0.254855	0.008663
61101.818561	0.276186	0.008990
61101.819070	0.268484	0.008695
61101.819548	0.263441	0.008740
61101.820028	0.269737	0.008914
61101.820515	0.268405	0.008679
61101.820992	0.280886	0.008902
61101.821469	0.291213	0.009068
61101.821946	0.291111	0.009051
61101.822431	0.280207	0.008988
61101.822910	0.265072	0.008837
61101.823390	0.269005	0.008910
