	Date_________JDUT	mag_correction
0	61111.505056	0.1403975778699481
1	61111.506581	0.14031841553964952
2	61111.508105	0.1402392710973841
3	61111.50963	0.14016006702165507
4	61111.511159	0.1400806595233538
5	61111.512693	0.14000099670631228
6	61111.514228	0.13992127487733508
7	61111.515756	0.1398418807678209
8	61111.517284	0.1397624909885864
9	61111.518814	0.13968300163426783
10	61111.52034	0.139603724418919
11	61111.521867	0.13952430792971193
12	61111.523393	0.13944490407341215
13	61111.524917	0.13936560861261704
14	61111.526445	0.13928610936838326
15	61111.527971	0.13920672224538655
16	61111.529497	0.1391273651590682
17	61111.531024	0.13904796040120415
18	61111.532549	0.13896866396857455
19	61111.534077	0.13888921587691117
20	61111.535602	0.13880989687744794
21	61111.53713	0.13873040324051533
22	61111.538689	0.13864930131562248
23	61111.54022	0.13856966039966512
24	61111.541758	0.13848965645733324
25	61111.543293	0.13840976105101988
26	61111.544825	0.13833002616748136
27	61111.546359	0.13825019156972718
28	61111.547887	0.13817067358796953
29	61111.549459	0.1380888395586446
30	61111.550999	0.13800865006073304
31	61111.552533	0.1379287773842286
32	61111.554065	0.1378490132220056
33	61111.5556	0.1377690932123986
34	61111.557133	0.1376891464868305
35	61111.558664	0.13760930845302177
36	61111.560197	0.1375293705190711
37	61111.561734	0.13744922842109364
38	61111.563275	0.1373688955717196
39	61111.564808	0.13728899732278377
40	61111.566366	0.13720780060026638
41	61111.567891	0.1371283280964618
42	61111.569426	0.13704833884760836
43	61111.570967	0.13696798490443984
44	61111.5725	0.13688805183953645
45	61111.574033	0.13680812316975044
46	61111.575567	0.13672814675935707
47	61111.5771	0.1366481619251656
48	61111.578633	0.1365681064258648
49	61111.580169	0.13648789868772415
50	61111.581703	0.13640779980790718
51	61111.583237	0.13632770534619731
