#	Label	J.D.-2400000	rel_flux_T1	rel_flux_err_T1	AIRMASS
1	G2882-S001-R001-C001-R_out.fits	61111.505056	0.362206	0.020072	1.745909
2	G2882-S001-R001-C002-R_out.fits	61111.506581	0.354917	0.017212	1.734355
3	G2882-S001-R001-C003-R_out.fits	61111.508105	0.344016	0.015701	1.723165
4	G2882-S001-R001-C004-R_out.fits	61111.509630	0.356734	0.015532	1.712298
5	G2882-S001-R001-C005-R_out.fits	61111.511159	0.361457	0.014979	1.701743
6	G2882-S001-R001-C006-R_out.fits	61111.512693	0.373897	0.015173	1.691478
7	G2882-S001-R001-C007-R_out.fits	61111.514228	0.377761	0.014905	1.681514
8	G2882-S001-R001-C008-R_out.fits	61111.515756	0.392706	0.014993	1.671914
9	G2882-S001-R001-C009-R_out.fits	61111.517284	0.397769	0.015494	1.662609
10	G2882-S001-R001-C010-R_out.fits	61111.518814	0.392388	0.014346	1.653585
11	G2882-S001-R001-C011-R_out.fits	61111.520340	0.384947	0.014225	1.644871
12	G2882-S001-R001-C012-R_out.fits	61111.521867	0.408240	0.014083	1.636426
13	G2882-S001-R001-C013-R_out.fits	61111.523393	0.431381	0.014458	1.628259
14	G2882-S001-R001-C014-R_out.fits	61111.524917	0.416990	0.014329	1.620367
15	G2882-S001-R001-C015-R_out.fits	61111.526445	0.415006	0.014649	1.612715
16	G2882-S001-R001-C016-R_out.fits	61111.527971	0.435285	0.015349	1.605328
17	G2882-S001-R001-C017-R_out.fits	61111.529497	0.405154	0.014500	1.598190
18	G2882-S001-R001-C018-R_out.fits	61111.531024	0.430547	0.014731	1.591290
19	G2882-S001-R001-C019-R_out.fits	61111.532549	0.381429	0.012639	1.584637
20	G2882-S001-R001-C020-R_out.fits	61111.534077	0.446221	0.015378	1.578205
21	G2882-S001-R001-C021-R_out.fits	61111.535602	0.422044	0.014455	1.572018
22	G2882-S001-R001-C022-R_out.fits	61111.537130	0.453886	0.016249	1.566044
23	G2882-S001-R001-C023-R_out.fits	61111.538689	0.403800	0.014569	1.560177
24	G2882-S001-R001-C024-R_out.fits	61111.540220	0.395982	0.014889	1.554637
