	Date_________JDUT	mag_correction
0	61093.637216	2.500537082898646
1	61093.637721	2.500474195468501
2	61093.638261	2.500406952939358
3	61093.638744	2.5003468112410183
4	61093.639286	2.500279279973757
5	61093.63978	2.5002177170086433
6	61093.640317	2.500150798700795
7	61093.640806	2.5000898649767933
8	61093.641347	2.500022454992509
9	61093.641835	2.499961652004349
10	61093.642379	2.499893875048204
11	61093.642871	2.499832579878476
12	61093.643408	2.499765681810391
13	61093.643895	2.499705015653216
14	61093.644436	2.4996376260418813
15	61093.644931	2.4995759695409467
16	61093.645466	2.4995093340540646
17	61093.646005	2.499442183997631
18	61093.646542	2.4993752442351593
19	61093.64708	2.4993081833472868
20	61093.647619	2.499241001353314
21	61093.648113	2.4991794313594435
22	61093.648653	2.499112131534615
23	61093.649198	2.499044212169416
24	61093.649737	2.4989770441044716
25	61093.650232	2.4989153622685416
26	61093.65077	2.498848325601676
27	61093.651256	2.4987877713502105
28	61093.651798	2.498720243050635
29	61093.652291	2.498658822818953
30	61093.652791	2.4985965320055508
31	61093.653286	2.4985348118732045
32	61093.653825	2.4984676089101714
33	61093.654312	2.498406892401141
34	61093.654855	2.498339197530956
35	61093.655394	2.4982720048941838
36	61093.655931	2.498205065107713
37	61093.656416	2.498144610411783
38	61093.656953	2.498077677323996
39	61093.657454	2.498015234543506
40	61093.657992	2.4979481836310886
41	61093.658478	2.4978876165124158
42	61093.65902	2.4978200738646152
43	61093.659516	2.497758266758954
44	61093.660004	2.4976974275922452
45	61093.660498	2.497635819747929
46	61093.661035	2.4975688526598954
47	61093.661581	2.497500766830207
48	61093.662067	2.497440166023973
49	61093.662604	2.4973732092285563
50	61093.663141	2.4973062559550736
51	61093.663687	2.497238184169868
52	61093.664233	2.4971701160248116
53	61093.664735	2.497107536437291
54	61093.665718	2.496985004042456
55	61093.66621	2.496923679947224
56	61093.666752	2.496856117629911
