	Date_________JDUT	mag_correction
0	61101.657971	1.9239099981565086
1	61101.658447	1.9238723797641442
2	61101.65893	1.9238342091438578
3	61101.659409	1.9237963556140962
4	61101.659908	1.9237569097210405
5	61101.660384	1.9237192622533172
6	61101.660864	1.923681299396698
7	61101.661348	1.9236430211744748
8	61101.661825	1.9236052975378568
9	61101.662325	1.9235657559810846
10	61101.662813	1.9235271644460035
11	61101.663311	1.9234877831456445
12	61101.66381	1.923448323823445
13	61101.664287	1.9234106051805036
14	61101.664792	1.9233706734993141
15	61101.66527	1.9233328777787695
16	61101.665748	1.9232950830289242
17	61101.666255	1.9232549963539367
18	61101.666734	1.923217119729773
19	61101.667212	1.9231792937929062
20	61101.667717	1.9231393323020372
21	61101.668216	1.9230998466674964
22	61101.668693	1.923062102873804
23	61101.66917	1.9230243600489336
24	61101.669671	1.9229847192570517
25	61101.67017	1.9229452377747227
26	61101.670649	1.9229073397131207
27	61101.671148	1.9228678603077936
28	61101.671627	1.9228299642403825
29	61101.672106	1.9227920691501668
30	61101.672584	1.9227542541458336
31	61101.673083	1.922714778850333
32	61101.673581	1.922675383720176
33	61101.67408	1.9226358760904798
34	61101.674587	1.9225957339106579
35	61101.675086	1.9225562262084905
36	61101.675562	1.9225185404926441
37	61101.676061	1.9224790348648684
38	61101.676561	1.9224394511322338
39	61101.67706	1.9223999476296596
40	61101.677558	1.9223605243507016
41	61101.678062	1.9223206271692055
42	61101.678541	1.9222827100175683
43	61101.679041	1.9222431315704966
44	61101.679538	1.9222037916506398
45	61101.680037	1.922164294479615
46	61101.680535	1.922124877519139
47	61101.681033	1.9220854256107611
48	61101.681539	1.9220453394466983
49	61101.682038	1.922005808904573
50	61101.682515	1.9219680221858204
51	61101.683013	1.9219285729373339
52	61101.683492	1.9218906297800877
53	61101.68397	1.9218527668119405
54	61101.684469	1.9218132414484859
55	61101.684951	1.9217750636494946
56	61101.685449	1.9217356195798987
57	61101.685948	1.9216960973663637
58	61101.686455	1.9216559426182709
59	61101.686932	1.9216181648930264
60	61101.68743	1.9215787250328373
61	61101.687929	1.921539173919915
62	61101.688408	1.92150120383611
63	61101.688887	1.9214632347339313
64	61101.689386	1.9214236813257533
65	61101.689894	1.921383415622746
66	61101.690372	1.9213455288238062
67	61101.69087	1.9213060578414811
68	61101.691371	1.921266350151781
69	61101.691849	1.9212284663701307
70	61101.692328	1.921190504313878
71	61101.692826	1.9211510374949883
72	61101.693334	1.9211107792614246
73	61101.693835	1.9210710768481545
74	61101.694846	1.9209909304023773
75	61101.695325	1.92095293670736
76	61101.695824	1.9209133576816737
77	61101.696322	1.9208738590356593
78	61101.696843	1.9208325372920532
79	61101.697345	1.9207927235821143
80	61101.697824	1.9207547350121412
81	61101.698303	1.9207167474249212
82	61101.698781	1.9206788401222248
83	61101.69928	1.920639268479313
84	61101.699778	1.9205997772008365
85	61101.700288	1.9205593354256056
86	61101.700789	1.920519608412227
87	61101.701287	1.9204801203496922
88	61101.701767	1.9204420301587009
89	61101.702244	1.9204041708654953
90	61101.702743	1.9203645664856348
91	61101.703241	1.9203250425378406
92	61101.703749	1.9202847260324454
93	61101.704226	1.9202468707931897
94	61101.704712	1.9202083023077594
95	61101.705214	1.920168465140672
96	61101.705693	1.9201304541896647
97	61101.706192	1.9200908571891893
98	61101.706692	1.920051181905922
99	61101.707174	1.920012935947113
100	61101.707672	1.919973421459475
101	61101.70815	1.919935494898131
102	61101.708638	1.9198967509721832
103	61101.709116	1.919858787274515
104	61101.709617	1.9198189979249938
105	61101.710094	1.919781115653914
106	61101.710594	1.9197414078238437
107	61101.711095	1.9197016216542861
108	61101.711594	1.9196619953831484
109	61101.712102	1.9196216555082986
110	61101.7126	1.91958211080065
111	61101.713099	1.9195424877538667
112	61101.713576	1.9195046126142568
113	61101.714086	1.9194641182626464
114	61101.714596	1.9194236250274932
115	61101.715094	1.9193840856513882
116	61101.715602	1.9193437264503441
117	61101.716113	1.9193031146553496
118	61101.716613	1.9192633781749724
119	61101.717112	1.9192237222391328
120	61101.717591	1.9191856567269765
121	61101.71809	1.9191460028901306
122	61101.718567	1.9191080983197308
123	61101.719075	1.9190677314258209
124	61101.719555	1.9190295904980756
125	61101.720055	1.9189898614191034
126	61101.720556	1.9189500539594986
127	61101.721033	1.9189121544469656
128	61101.721532	1.9188725079954057
129	61101.722042	1.9188319886803298
130	61101.72255	1.9187916017488411
131	61101.723029	1.9187535070651398
132	61101.72353	1.9187136637876883
133	61101.724007	1.9186757301757893
134	61101.724484	1.9186377975435103
135	61101.724983	1.9185981164467771
136	61101.725468	1.9185595496755792
137	61101.72598	1.9185188369868609
138	61101.726457	1.918480908408927
139	61101.726936	1.918442821786763
140	61101.727415	1.9184047361526853
141	61101.727893	1.9183667310142898
142	61101.728371	1.9183287268603246
143	61101.728854	1.9182903261719353
144	61101.729334	1.9182521507132309
145	61101.729814	1.9182139495677855
146	61101.730315	1.9181740781821577
147	61101.730816	1.9181342078796806
148	61101.731314	1.918094577395565
149	61101.731791	1.918056619079225
150	61101.732269	1.9180185821704507
151	61101.732746	1.9179806258194851
152	61101.733244	1.9179409994815624
153	61101.733721	1.9179030451374757
154	61101.734201	1.9178648530768956
155	61101.734699	1.9178252298645273
156	61101.735177	1.9177871989518622
157	61101.736185	1.9177069967334817
158	61101.736665	1.9176687683994385
159	61101.737144	1.91763062070005
160	61101.737644	1.9175908016124947
161	61101.73812	1.9175528948452
162	61101.738597	1.9175149094241537
163	61101.739078	1.9174766064632713
164	61101.739567	1.917437667471583
165	61101.740045	1.9173996054065399
166	61101.740558	1.917358757468781
167	61101.741035	1.917320777072967
168	61101.741516	1.9172824791785847
169	61101.741994	1.9172444211386788
170	61101.742473	1.9172062844701308
171	61101.742951	1.9171682284063047
172	61101.743428	1.9171302205502214
173	61101.743912	1.9170916467073353
174	61101.74439	1.9170535520476553
175	61101.744867	1.9170155380700598
176	61101.745366	1.9169757718814628
177	61101.745866	1.916935927082821
178	61101.746344	1.9168978364665754
179	61101.746853	1.9168572766260028
180	61101.747331	1.9168191880518046
181	61101.747808	1.916781180146609
182	61101.748307	1.9167414203101052
183	61101.748786	1.9167032550683785
184	61101.749263	1.9166652501665802
185	61101.749761	1.9166255731434942
186	61101.75027	1.9165849971857807
187	61101.750768	1.916545278725077
188	61101.751267	1.9165054815872469
189	61101.751744	1.9164674400421546
190	61101.752243	1.9164276450163789
191	61101.75272	1.916389605490686
192	61101.753219	1.9163498125767147
193	61101.7537	1.9163114561002743
194	61101.754199	1.9162716653065122
195	61101.754697	1.9162319553306626
196	61101.755183	1.9161932032574218
197	61101.755661	1.9161550900773046
198	61101.757636	1.9159975636970334
199	61101.758134	1.9159578173060132
200	61101.758642	1.9159172739050334
201	61101.759119	1.9158792056293927
202	61101.759618	1.9158393826425189
203	61101.760128	1.9157986829108444
204	61101.760609	1.9157602985135087
205	61101.761087	1.9157221545147818
206	61101.761585	1.9156824155882402
207	61101.762095	1.9156417202136098
208	61101.762605	1.915601025967765
209	61101.763103	1.9155612903242338
210	61101.763583	1.9155229919271655
211	61101.764061	1.9154848388903032
212	61101.764559	1.9154450623845676
213	61101.765057	1.9154052869586669
214	61101.765569	1.9153643944722512
215	61101.766047	1.9153262185329447
216	61101.766545	1.9152864463308326
217	61101.767027	1.9152479529778745
218	61101.767507	1.9152096203534401
219	61101.767984	1.9151715283003214
220	61101.768462	1.9151333573824767
221	61101.768964	1.9150932710030688
222	61101.769442	1.9150551021233155
223	61101.76994	1.9150153372757004
224	61101.770449	1.9149746952023297
225	61101.770928	1.9149364411840517
226	61101.771426	1.9148966354634815
227	61101.771903	1.9148585093110486
228	61101.77238	1.9148203841503972
229	61101.772879	1.9147805016585526
230	61101.773358	1.9147422186836462
231	61101.773858	1.914702258398647
232	61101.774337	1.9146639774673955
233	61101.774816	1.9146256975365452
234	61101.775322	1.9145852609494163
235	61101.775799	1.9145471428958896
236	61101.776276	1.914509025834257
237	61101.776754	1.9144708298564064
238	61101.77723	1.914432794683536
239	61101.777729	1.9143929227363208
