#	Label	J.D.-2400000	rel_flux_T1	rel_flux_err_T1	AIRMASS
65	G2882-S001-R001-C065-R_out.fits	61112.605869	0.496342	0.020907	1.485317
66	G2882-S001-R001-C066-R_out.fits	61112.607391	0.519445	0.021856	1.487816
67	G2882-S001-R001-C067-R_out.fits	61112.608916	0.506707	0.021154	1.490494
68	G2882-S001-R001-C068-R_out.fits	61112.610441	0.498552	0.020553	1.493350
69	G2882-S001-R001-C069-R_out.fits	61112.611964	0.545372	0.022459	1.496382
70	G2882-S001-R001-C070-R_out.fits	61112.613488	0.541306	0.022461	1.499596
71	G2882-S001-R001-C071-R_out.fits	61112.615011	0.524527	0.021101	1.502991
72	G2882-S001-R001-C072-R_out.fits	61112.616537	0.557678	0.021511	1.506576
73	G2882-S001-R001-C073-R_out.fits	61112.618061	0.506771	0.020358	1.510342
74	G2882-S001-R001-C074-R_out.fits	61112.619588	0.543862	0.021948	1.514309
75	G2882-S001-R001-C075-R_out.fits	61112.621112	0.521906	0.020646	1.518459
76	G2882-S001-R001-C076-R_out.fits	61112.622640	0.567857	0.021319	1.522813
77	G2882-S001-R001-C077-R_out.fits	61112.624164	0.535167	0.019866	1.527353
78	G2882-S001-R001-C078-R_out.fits	61112.625687	0.562654	0.021168	1.532091
79	G2882-S001-R001-C079-R_out.fits	61112.627220	0.570375	0.021344	1.537064
80	G2882-S001-R001-C080-R_out.fits	61112.628743	0.584331	0.021695	1.542212
81	G2882-S001-R001-C081-R_out.fits	61112.630267	0.575519	0.021987	1.547571
82	G2882-S001-R001-C082-R_out.fits	61112.631792	0.580156	0.022191	1.553149
