	Date_________JDUT	mag_correction
0	61094.374429	2.411085891327431
1	61094.374971	2.411023136324006
2	61094.375457	2.410966854402649
3	61094.37595	2.4109097634895607
4	61094.376447	2.4108522119301456
5	61094.376934	2.4107958208491813
6	61094.377431	2.410738274390146
7	61094.37851	2.4106133483882424
8	61094.379055	2.4105502532149408
9	61094.379597	2.410487508424595
10	61094.381172	2.410305195459914
11	61094.381703	2.410243735773184
12	61094.382247	2.4101807644170354
13	61094.382782	2.4101188299857452
14	61094.383326	2.4100558567256396
15	61094.383868	2.4099931180531664
16	61094.384359	2.4099362854766717
17	61094.384897	2.4098740155997436
18	61094.385386	2.4098174197593583
19	61094.385927	2.4097548084496903
20	61094.386471	2.4096918530174056
21	61094.386961	2.4096351494759447
22	61094.3875	2.409572778468335
23	61094.388045	2.4095097162397434
24	61094.388584	2.4094473513164507
25	61094.38912	2.4093853279398285
26	61094.389661	2.409322717613006
27	61094.390161	2.4092648549571876
28	61094.390695	2.4092030605167483
29	61094.391185	2.4091463603659897
30	61094.391727	2.409083645968466
31	61094.392269	2.4090209346298455
32	61094.392814	2.4089578792652424
33	61094.393306	2.408900958545602
34	61094.3938	2.408843808976021
35	61094.394288	2.408787356024148
36	61094.394791	2.408729170433172
37	61094.395289	2.4086715658209927
38	61094.395827	2.408609337232333
39	61094.396368	2.4085467428583702
40	61094.396911	2.4084839198865557
41	61094.397401	2.4084272314421167
42	61094.397946	2.4083641829452054
43	61094.398477	2.4083027570150217
44	61094.399009	2.4082412183486595
45	61094.399544	2.408179335629783
46	61094.400041	2.4081218509872055
47	61094.400544	2.40806367498228
48	61094.401081	2.4080015695068537
49	61094.401614	2.407939929609225
50	61094.402156	2.4078772519183493
51	61094.402685	2.4078160805118323
52	61094.403219	2.4077543142100515
53	61094.403709	2.407697636082257
54	61094.404243	2.407635871334815
55	61094.404744	2.4075779262071255
56	61094.405282	2.4075157046066624
57	61094.40584	2.40745117311648
58	61094.406414	2.407384794640392
59	61094.407062	2.4073098627776766
60	61094.40787	2.407216435336867
