	Date_________JDUT	mag_correction
0	61093.452852	2.5234258462575605
1	61093.453388	2.5233594298754847
2	61093.453928	2.523292521347309
3	61093.454471	2.523225244646501
4	61093.454959	2.523164785372149
5	61093.455462	2.5231024707202074
6	61093.455958	2.523041026251953
7	61093.4565	2.5229738866904956
8	61093.457049	2.5229058836178115
9	61093.457585	2.52283949431708
10	61093.458103	2.522775337792329
11	61093.458644	2.5227083097658323
12	61093.459143	2.522646470533995
13	61093.459681	2.5225798015363643
14	61093.460187	2.5225171011628933
15	61093.460677	2.5224563863477267
16	61093.461171	2.5223951788290644
17	61093.461659	2.522334717607
18	61093.462194	2.522268436570019
19	61093.462724	2.522202778379819
20	61093.463266	2.5221356370855776
21	61093.463756	2.52207494043508
22	61093.464286	2.522009292208176
23	61093.464818	2.521943399652291
24	61093.465305	2.521883081308859
25	61093.465812	2.521820246806408
26	61093.466344	2.5217543172862906
27	61093.466878	2.5216881433395466
28	61093.468428	2.5214960848570582
29	61093.468958	2.5214304198850703
30	61093.469437	2.5213710765270103
31	61093.469943	2.5213083911371212
32	61093.470489	2.521240753836837
33	61093.470977	2.5211803044885865
34	61093.471516	2.521113541018649
35	61093.472014	2.5210518591388054
36	61093.472552	2.520985196279732
37	61093.473085	2.5209191376586055
38	61093.473625	2.5208522149663013
39	61093.474159	2.520786039314511
40	61093.474689	2.520720362756363
41	61093.475178	2.520659769839379
42	61093.475664	2.520599551511701
43	61093.476195	2.5205337606635885
44	61093.476729	2.5204676015405543
45	61093.477258	2.5204020652703756
46	61093.477794	2.5203356652263427
47	61093.478321	2.520270383479554
48	61093.478856	2.520204114158317
49	61093.479387	2.520138323044047
50	61093.47992	2.5200722582895514
51	61093.480412	2.5200112784780386
52	61093.480941	2.5199457160400245
53	61093.48147	2.5198801569747706
54	61093.481959	2.5198195581153557
55	61093.482491	2.5197536337926496
56	61093.483021	2.5196879606966363
57	61093.483555	2.5196217953759925
58	61093.484057	2.519559598149457
59	61093.484547	2.519498890636247
60	61093.485087	2.519431991826872
61	61093.485629	2.519364848774084
62	61093.486163	2.5192986952102596
63	61093.486703	2.519231754759886
64	61093.487181	2.5191725029987575
65	61093.487711	2.5191068086578214
66	61093.488244	2.519040745877274
67	61093.488777	2.518974686520352
68	61093.489319	2.518907515224682
69	61093.489862	2.518840223545919
70	61093.490395	2.518774174579587
71	61093.490927	2.5187082529450238
72	61093.491459	2.5186423347193454
73	61093.491993	2.5185761721075526
74	61093.492536	2.518508897918095
75	61093.49308	2.5184415009679078
