2461091.659722222, , , 07 29 27.50, +42 19 15.3,  379.8955,  -623.195,   3.768,  0.565,   14.944,   n.a.,   1.041387114614, 17.1394034,  0.07537552998200, 15.8353987,   44.2306,  101.6,   8.0572,
2461091.666666667, , , 07 29 33.24, +42 17 31.6,  379.6046,  -622.975,   3.935,  0.591,   14.945,   n.a.,   1.041455850917, 17.1384249,  0.07543907988448, 15.8539510,   44.2061,  101.5,   8.1096,
2461091.673611111, , , 07 29 38.97, +42 15 48.0,  379.3594,  -622.738,   4.135,  0.621,   14.946,   n.a.,   1.041524583292, 17.1374464,  0.07550270370218, 15.8722541,   44.1817,  101.5,   8.1626,
2461091.680555556, , , 07 29 44.69, +42 14 04.5,  379.1584,  -622.484,   4.377,  0.657,   14.948,   n.a.,   1.041593311739, 17.1364678,  0.07556640039090, 15.8902858,   44.1573,  101.4,   8.2162,
2461091.687500000, , , 07 29 50.41, +42 12 21.0,  379.0005,  -622.211,   4.669,  0.701,   14.949,   n.a.,   1.041662036256, 17.1354893,  0.07563016881917, 15.9080247,   44.1329,  101.3,   8.2703,
2461091.694444444, , , 07 29 56.12, +42 10 37.5,  378.8844,  -621.918,   5.027,  0.754,   14.950,   n.a.,   1.041730756845, 17.1345107,  0.07569400777036, 15.9254499,   44.1085,  101.2,   8.3250,
2461091.701388889, , , 07 30 01.83, +42 08 54.1,  378.8087,  -621.605,   5.471,  0.821,   14.951,   n.a.,   1.041799473506, 17.1335320,  0.07575791594465, 15.9425407,   44.0841,  101.1,   8.3803,
2461091.708333333, , , 07 30 07.54, +42 07 10.7,  378.7718,  -621.269,   6.030,  0.905,   14.953,   n.a.,   1.041868186237, 17.1325534,  0.07582189196129, 15.9592775,   44.0597,  101.0,   8.4360,
2461091.715277778, , , 07 30 13.24, +42 05 27.4,  378.7723,  -620.910,   6.750,  1.013,   14.954,   n.a.,   1.041936895040, 17.1315748,  0.07588593436106, 15.9756408,   44.0354,  100.9,   8.4923,
2461091.722222222, , , 07 30 18.94, +42 03 44.2,  378.8085,  -620.528,   7.702,  1.156,   14.955,   n.a.,   1.042005599915, 17.1305961,  0.07595004160881, 15.9916121,   44.0110,  100.9,   8.5490,
2461091.729166667, , , 07 30 24.64, +42 02 01.0,  378.8789,  -620.121,   9.006,  1.352,   14.957,   n.a.,   1.042074300860, 17.1296174,  0.07601421209615, 16.0071735,   43.9867,  100.8,   8.6062,
2461091.736111111, , , 07 30 30.33, +42 00 17.9,  378.9816,  -619.689,  10.872,  1.632,   14.958,   n.a.,   1.042142997877, 17.1286387,  0.07607844414429, 16.0223079,   43.9624,  100.7,   8.6639,
2461091.743055556, , , 07 30 36.03, +41 58 34.9,  379.1149,  -619.230,  13.698,  2.056,   14.959,   n.a.,   1.042211690965, 17.1276599,  0.07614273600708, 16.0369987,   43.9380,  100.6,   8.7219,
2461091.750000000, , , 07 30 41.73, +41 56 51.9,  379.2770,  -618.744,  18.283,  2.744,   14.961,   n.a.,   1.042280380125, 17.1266812,  0.07620708587407, 16.0512304,   43.9137,  100.5,   8.7804,
2461091.756944444, , , 07 30 47.42, +41 55 09.1,  379.4660,  -618.230,  26.270,  3.942,   14.962,   n.a.,   1.042349065356, 17.1257024,  0.07627149187380, 16.0649881,   43.8894,  100.4,   8.8392,
2461091.763888889, , , 07 30 53.12, +41 53 26.3,  379.6801,  -617.689,    n.a.,   n.a.,   14.963,   n.a.,   1.042417746659, 17.1247236,  0.07633595207709, 16.0782580,   43.8651,  100.3,   8.8984,
2461091.770833333, ,s, 07 30 58.82, +41 51 43.6,  379.9172,  -617.118,    n.a.,   n.a.,   14.964,   n.a.,   1.042486424032, 17.1237448,  0.07640046450060, 16.0910269,   43.8408,  100.2,   8.9579,
2461091.777777778, , , 07 31 04.51, +41 50 01.0,  380.1755,  -616.518,    n.a.,   n.a.,   14.966,   n.a.,   1.042555097478, 17.1227659,  0.07646502711034, 16.1032826,   43.8165,  100.1,   9.0178,
2461091.784722222, , , 07 31 10.21, +41 48 18.5,  380.4528,  -615.888,    n.a.,   n.a.,   14.967,   n.a.,   1.042623766995, 17.1217871,  0.07652963782536, 16.1150140,   43.7922,  100.0,   9.0779,
2461091.791666667, , , 07 31 15.92, +41 46 36.1,  380.7471,  -615.229,    n.a.,   n.a.,   14.968,   n.a.,   1.042692432583, 17.1208082,  0.07659429452154, 16.1262107,   43.7679,   99.9,   9.1382,
2461091.798611111, , , 07 31 21.62, +41 44 53.8,  381.0564,  -614.538,    n.a.,   n.a.,   14.970,   n.a.,   1.042761094244, 17.1198293,  0.07665899503545, 16.1368634,   43.7436,   99.9,   9.1988,
2461091.805555556, , , 07 31 27.32, +41 43 11.7,  381.3786,  -613.817,    n.a.,   n.a.,   14.971,   n.a.,   1.042829751975, 17.1188504,  0.07672373716827, 16.1469638,   43.7194,   99.8,   9.2596,
2461091.812500000, , , 07 31 33.03, +41 41 29.7,  381.7116,  -613.066,    n.a.,   n.a.,   14.972,   n.a.,   1.042898405779, 17.1178714,  0.07678851868976, 16.1565046,   43.6951,   99.7,   9.3205,
2461091.819444444, , , 07 31 38.74, +41 39 47.8,  382.0533,  -612.283,    n.a.,   n.a.,   14.974,   n.a.,   1.042967055654, 17.1168924,  0.07685333734241, 16.1654795,   43.6708,   99.6,   9.3816,
2461091.826388889, , , 07 31 44.45, +41 38 06.0,  382.4015,  -611.469,    n.a.,   n.a.,   14.975,   n.a.,   1.043035701601, 17.1159135,  0.07691819084547, 16.1738832,   43.6466,   99.5,   9.4428,
2461091.833333333, , , 07 31 50.17, +41 36 24.4,  382.7541,  -610.624,    n.a.,   n.a.,   14.976,   n.a.,   1.043104343620, 17.1149345,  0.07698307689920, 16.1817115,   43.6223,   99.4,   9.5041,
2461091.840277778, , , 07 31 55.89, +41 34 42.9,  383.1090,  -609.748,    n.a.,   n.a.,   14.977,   n.a.,   1.043172981711, 17.1139554,  0.07704799318901, 16.1889611,   43.5980,   99.3,   9.5655,
