	Date_________JDUT	mag_correction
0	61114.540675	0.965089253300221
1	61114.542202	0.9650178763816548
2	61114.543729	0.9649464708278276
3	61114.545292	0.964873385466542
4	61114.54682	0.964801940237743
5	61114.548349	0.9647304517587405
6	61114.549877	0.9646589721584866
7	61114.551408	0.96458734715192
8	61114.552937	0.96451581922647
9	61114.554465	0.9644443415905433
10	61114.555995	0.9643727594360896
11	61114.557522	0.9643012852953704
12	61114.559054	0.9642295806451083
13	61114.560585	0.9641579263257527
14	61114.562113	0.9640864159280792
15	61114.563642	0.9640148244329193
16	61114.565169	0.963943317299004
17	61114.566704	0.9638714390761427
18	61114.568232	0.9637998921600217
19	61114.569761	0.9637282914222455
20	61114.571288	0.9636567476314559
21	61114.572817	0.9635851136580018
22	61114.574344	0.9635135769024086
23	61114.575873	0.9634419499725948
